seed,dataset,word2vec_size,squash,pipeline,words_PRC,words_RCL,words_F,words_HR,words_OS,words_R,phones_PRC,phones_RCL,phones_F,phones_HR,phones_OS,phones_R
290956,LibriSpeech/train-clean-100,100,True,500-50-200,0.17303,0.48836,0.25553,48.83614,182.24135,-0.77165,0.58109,0.51711,0.54724,51.71056,-11.01141,0.62056
290956,LibriSpeech/train-clean-100,100,True,squash,0.10131,0.89238,0.18196,89.23848,780.83437,-5.70326,0.33672,0.93514,0.49515,93.51353,177.7205,-0.54046
290956,LibriSpeech/train-clean-100,100,False,100,0.05665,0.99555,0.1072,99.55468,1657.32067,-13.14769,0.18008,0.99775,0.30509,99.77497,454.0701,-2.87653
290956,LibriSpeech/train-clean-100,100,False,200,0.08543,0.96648,0.15698,96.64837,1031.33778,-7.8149,0.2747,0.97986,0.4291,97.98567,256.70236,-1.19825
290956,LibriSpeech/train-clean-100,100,False,500,0.10931,0.88841,0.19467,88.84077,712.7438,-5.12354,0.35902,0.91998,0.51648,91.9984,156.25206,-0.36301
290956,LibriSpeech/train-clean-100,100,False,1000,0.12143,0.8466,0.2124,84.65998,597.17808,-4.15245,0.40045,0.88024,0.55047,88.02447,119.81505,-0.06801
290956,LibriSpeech/train-clean-100,100,False,2000,0.13194,0.80677,0.22679,80.6775,511.4596,-3.43572,0.44069,0.84961,0.58035,84.96084,92.78865,0.14877
290956,LibriSpeech/train-clean-100,100,False,5000,0.14478,0.75045,0.24273,75.04524,418.3347,-2.66266,0.49272,0.80524,0.61136,80.52383,63.42706,0.37514
290956,LibriSpeech/train-clean-100,100,False,10000,0.15264,0.70909,0.25121,70.90927,364.54807,-2.22026,0.52404,0.76755,0.62284,76.7554,46.46854,0.49374
290956,LibriSpeech/train-clean-100,100,False,20000,0.1589,0.67077,0.25693,67.07731,322.12455,-1.87429,0.54826,0.72969,0.6261,72.96912,33.09272,0.57378
290956,LibriSpeech/train-clean-100,100,False,33790,0.16342,0.64461,0.26074,64.46139,294.46432,-1.64974,0.56306,0.70029,0.62422,70.02883,24.37166,0.61472
290956,LibriSpeech/train-clean-100,100,False,50000,0.166,0.6238,0.26222,62.38009,275.77867,-1.4997,0.57142,0.67702,0.61975,67.70161,18.48021,0.63441
290956,LibriSpeech/train-clean-100,100,False,100000,0.17129,0.59148,0.26565,59.14794,245.31182,-1.25519,0.58047,0.63198,0.60513,63.19833,8.87424,0.64923
290956,LibriSpeech/train-clean-100,100,False,200-50-10000,0.17575,0.52889,0.26383,52.8889,200.92446,-0.90881,0.61121,0.57992,0.59515,57.9916,-5.12076,0.65799
290956,LibriSpeech/train-clean-100,100,False,200-50-12500,0.17735,0.51747,0.26416,51.7471,191.78032,-0.83743,0.61627,0.56695,0.59058,56.6949,-8.00384,0.655
290956,LibriSpeech/train-clean-100,100,False,200-50-50000,0.18731,0.45635,0.2656,45.63511,143.63592,-0.46794,0.6413,0.49262,0.55721,49.26241,-23.18341,0.62366
290956,LibriSpeech/train-clean-100,100,False,200-100-50000,0.1404,0.6374,0.23011,63.74048,353.97919,-2.15886,0.47508,0.68001,0.55937,68.00138,43.13625,0.46581
290956,LibriSpeech/train-clean-100,100,False,100-50-50000,0.17784,0.51372,0.26421,51.3724,188.8636,-0.81477,0.63138,0.57504,0.60189,57.50426,-8.92346,0.66419
290956,LibriSpeech/train-clean-100,100,False,100-50-100,0.08178,0.91026,0.15008,91.02558,1013.03783,-7.67875,0.27068,0.94989,0.42131,94.98882,250.93252,-1.15981
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100,0.10188,0.81544,0.18113,81.54361,700.40033,-5.04476,0.35097,0.88571,0.50273,88.57063,152.36025,-0.34303
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100,0.12269,0.7349,0.21028,73.49044,498.97897,-3.3563,0.42649,0.80544,0.55768,80.54434,88.8536,0.16228
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100-50-100,0.13588,0.66373,0.22558,66.3728,388.46294,-2.44189,0.47629,0.73352,0.57756,73.35229,54.00872,0.41371
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100-50-100-50-100,0.14136,0.59013,0.22808,59.01298,317.46834,-1.86785,0.48676,0.6407,0.55322,64.06974,31.62465,0.52183
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100-50-100-50-100-50-100,0.15557,0.48896,0.23604,48.89635,214.30808,-1.03996,0.50458,0.50003,0.50229,50.00312,-0.90101,0.57639
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.17354,0.37959,0.23819,37.95851,118.72861,-0.30893,0.55625,0.38361,0.45407,38.36063,-31.0365,0.54674
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.1786,0.31621,0.22827,31.62073,77.04435,-0.02921,0.5754,0.32119,0.41226,32.11914,-44.17924,0.51124
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.18943,0.24274,0.2128,24.27384,28.14107,0.22884,0.55624,0.22473,0.32012,22.47333,-59.59808,0.44768
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.19833,0.21534,0.20649,21.53387,8.57781,0.29759,0.56735,0.19423,0.28939,19.42257,-65.76623,0.42759
290956,LibriSpeech/train-clean-100,100,False,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.20176,0.17069,0.18493,17.06869,-15.39972,0.33949,0.56239,0.15001,0.23684,15.0012,-73.32616,0.39745
290956,LibriSpeech/train-clean-100,100,False,200-50-200,0.12575,0.81158,0.21776,81.15799,545.40662,-3.72358,0.42338,0.86155,0.56776,86.15527,103.49189,0.06308
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200,0.14524,0.62788,0.23591,62.78786,332.31543,-1.97844,0.50757,0.69185,0.58555,69.18498,36.30583,0.52459
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200,0.15799,0.5197,0.24232,51.97044,228.95027,-1.14894,0.53587,0.55578,0.54564,55.57755,3.71556,0.60692
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200,0.19451,0.39591,0.26086,39.59128,103.5452,-0.17906,0.60179,0.38621,0.47048,38.62052,-35.82372,0.5543
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200,0.21123,0.29157,0.24498,29.15677,38.03132,0.21304,0.61181,0.26626,0.37104,26.6263,-56.47975,0.4773
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200,0.21419,0.1971,0.20529,19.71006,-7.97952,0.34092,0.58393,0.16942,0.26264,16.94178,-70.98663,0.41102
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.20587,0.12944,0.15894,12.94354,-37.12707,0.35026,0.56283,0.11157,0.18622,11.15725,-80.17663,0.371
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.19136,0.08627,0.11893,8.6272,-54.91735,0.33808,0.54838,0.07795,0.1365,7.79483,-85.78578,0.3476
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.18429,0.06677,0.09802,6.6768,-63.77092,0.33036,0.54519,0.06228,0.11179,6.22761,-88.57724,0.33667
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.18205,0.05605,0.08571,5.60494,-69.2124,0.32571,0.54463,0.05287,0.09638,5.28679,-90.2929,0.33009
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.17531,0.04531,0.07201,4.53122,-74.15368,0.32022,0.53978,0.04399,0.08135,4.39877,-91.85085,0.32386
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.17081,0.03452,0.05743,3.45235,-79.78864,0.3145,0.53011,0.03378,0.06351,3.37812,-93.62751,0.3167
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.172,0.03004,0.05115,3.00441,-82.53259,0.31208,0.52658,0.029,0.05497,2.90004,-94.49266,0.31334
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.17286,0.02738,0.04727,2.73786,-84.16131,0.31058,0.52418,0.02618,0.04987,2.61765,-95.00618,0.31135
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.17511,0.02385,0.04198,2.38481,-86.38113,0.30854,0.52483,0.02254,0.04322,2.25358,-95.70607,0.30879
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.17526,0.02128,0.03795,2.12773,-87.85982,0.30699,0.5215,0.01996,0.03845,1.99615,-96.17229,0.30698
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.17321,0.01916,0.0345,1.91615,-88.93726,0.30565,0.51616,0.018,0.03479,1.80036,-96.512,0.3056
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.17335,0.01738,0.03159,1.73823,-89.97301,0.30454,0.5144,0.01626,0.03152,1.62623,-96.83856,0.30437
290956,LibriSpeech/train-clean-100,100,False,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.17195,0.01534,0.02817,1.53417,-91.07776,0.30323,0.51436,0.01447,0.02815,1.44695,-97.18688,0.30311
290956,LibriSpeech/train-clean-100,100,False,500-50-200,0.14302,0.72479,0.2389,72.47947,406.79307,-2.57415,0.49359,0.78871,0.60719,78.87059,59.78808,0.39685
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-72-10000,0.20129,0.30402,0.24221,30.40199,51.03888,0.14195,0.6758,0.32183,0.43602,32.18273,-52.37857,0.51697
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-72-30000,0.20346,0.26846,0.23148,26.84638,31.95011,0.22927,0.68281,0.28407,0.40122,28.40667,-58.39711,0.4914
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-72-50000,0.20557,0.24616,0.22404,24.61557,19.74346,0.27404,0.68833,0.25987,0.3773,25.98738,-62.24578,0.47486
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-72-20000,0.20265,0.2842,0.23659,28.41979,40.24125,0.19407,0.68041,0.30086,0.41723,30.08587,-55.78298,0.50283
